number	latency	duration	channel	bvtime	bvmknum	type	code	urevent	epoch
1.000000	1001.000000	1.000000	0.000000		2.000000	S  2	Stimulus	2.000000	1.000000
2.000000	1751.000000	1.000000	0.000000		3.000000	S  4	Stimulus	3.000000	1.000000
3.000000	5001.000000	1.000000	0.000000		4.000000	S  1	Stimulus	4.000000	2.000000
4.000000	5596.000000	1.000000	0.000000		5.000000	S  6	Stimulus	5.000000	2.000000
5.000000	9001.000000	1.000000	0.000000		6.000000	S  2	Stimulus	6.000000	3.000000
6.000000	9403.000000	1.000000	0.000000		7.000000	S  6	Stimulus	7.000000	3.000000
7.000000	13001.000000	1.000000	0.000000		8.000000	S  1	Stimulus	8.000000	4.000000
8.000000	13402.000000	1.000000	0.000000		9.000000	S  4	Stimulus	9.000000	4.000000
9.000000	17001.000000	1.000000	0.000000		10.000000	S  1	Stimulus	10.000000	5.000000
10.000000	17557.000000	1.000000	0.000000		11.000000	S  6	Stimulus	11.000000	5.000000
11.000000	21001.000000	1.000000	0.000000		12.000000	S  2	Stimulus	12.000000	6.000000
12.000000	21528.000000	1.000000	0.000000		13.000000	S  6	Stimulus	13.000000	6.000000
13.000000	25001.000000	1.000000	0.000000		14.000000	S  1	Stimulus	14.000000	7.000000
14.000000	25524.000000	1.000000	0.000000		15.000000	S  6	Stimulus	15.000000	7.000000
15.000000	29001.000000	1.000000	0.000000		16.000000	S  2	Stimulus	16.000000	8.000000
16.000000	29470.000000	1.000000	0.000000		17.000000	S  6	Stimulus	17.000000	8.000000
17.000000	33001.000000	1.000000	0.000000		18.000000	S  2	Stimulus	18.000000	9.000000
18.000000	33482.000000	1.000000	0.000000		19.000000	S  6	Stimulus	19.000000	9.000000
19.000000	37001.000000	1.000000	0.000000		20.000000	S  1	Stimulus	20.000000	10.000000
20.000000	37434.000000	1.000000	0.000000		21.000000	S  6	Stimulus	21.000000	10.000000
21.000000	41001.000000	1.000000	0.000000		22.000000	S  1	Stimulus	22.000000	11.000000
22.000000	41395.000000	1.000000	0.000000		23.000000	S  6	Stimulus	23.000000	11.000000
23.000000	45001.000000	1.000000	0.000000		24.000000	S  2	Stimulus	24.000000	12.000000
24.000000	45534.000000	1.000000	0.000000		25.000000	S  6	Stimulus	25.000000	12.000000
25.000000	49001.000000	1.000000	0.000000		26.000000	S  1	Stimulus	26.000000	13.000000
26.000000	49395.000000	1.000000	0.000000		27.000000	S  6	Stimulus	27.000000	13.000000
27.000000	53001.000000	1.000000	0.000000		28.000000	S  2	Stimulus	28.000000	14.000000
28.000000	53448.000000	1.000000	0.000000		29.000000	S  6	Stimulus	29.000000	14.000000
29.000000	57001.000000	1.000000	0.000000		30.000000	S  2	Stimulus	30.000000	15.000000
30.000000	57444.000000	1.000000	0.000000		31.000000	S  6	Stimulus	31.000000	15.000000
31.000000	61001.000000	1.000000	0.000000		32.000000	S  1	Stimulus	32.000000	16.000000
32.000000	61449.000000	1.000000	0.000000		33.000000	S  4	Stimulus	33.000000	16.000000
33.000000	65001.000000	1.000000	0.000000		34.000000	S  1	Stimulus	34.000000	17.000000
34.000000	65395.000000	1.000000	0.000000		35.000000	S  6	Stimulus	35.000000	17.000000
35.000000	69001.000000	1.000000	0.000000		36.000000	S  2	Stimulus	36.000000	18.000000
36.000000	69494.000000	1.000000	0.000000		37.000000	S  6	Stimulus	37.000000	18.000000
37.000000	73001.000000	1.000000	0.000000		38.000000	S  1	Stimulus	38.000000	19.000000
38.000000	73448.000000	1.000000	0.000000		39.000000	S  6	Stimulus	39.000000	19.000000
39.000000	77001.000000	1.000000	0.000000		40.000000	S  2	Stimulus	40.000000	20.000000
40.000000	77513.000000	1.000000	0.000000		41.000000	S  6	Stimulus	41.000000	20.000000
41.000000	81001.000000	1.000000	0.000000		42.000000	S  2	Stimulus	42.000000	21.000000
42.000000	81609.000000	1.000000	0.000000		43.000000	S  6	Stimulus	43.000000	21.000000
43.000000	85001.000000	1.000000	0.000000		44.000000	S  1	Stimulus	44.000000	22.000000
44.000000	85391.000000	1.000000	0.000000		45.000000	S  6	Stimulus	45.000000	22.000000
45.000000	89001.000000	1.000000	0.000000		46.000000	S  2	Stimulus	46.000000	23.000000
46.000000	89510.000000	1.000000	0.000000		47.000000	S  6	Stimulus	47.000000	23.000000
47.000000	93001.000000	1.000000	0.000000		48.000000	S  1	Stimulus	48.000000	24.000000
48.000000	93506.000000	1.000000	0.000000		49.000000	S  6	Stimulus	49.000000	24.000000
49.000000	97001.000000	1.000000	0.000000		50.000000	S  1	Stimulus	50.000000	25.000000
50.000000	97481.000000	1.000000	0.000000		51.000000	S  6	Stimulus	51.000000	25.000000
51.000000	101001.000000	1.000000	0.000000		52.000000	S  2	Stimulus	52.000000	26.000000
52.000000	101572.000000	1.000000	0.000000		53.000000	S  6	Stimulus	53.000000	26.000000
53.000000	105001.000000	1.000000	0.000000		54.000000	S  1	Stimulus	54.000000	27.000000
54.000000	105423.000000	1.000000	0.000000		55.000000	S  6	Stimulus	55.000000	27.000000
55.000000	109001.000000	1.000000	0.000000		56.000000	S  2	Stimulus	56.000000	28.000000
56.000000	109465.000000	1.000000	0.000000		57.000000	S  4	Stimulus	57.000000	28.000000
57.000000	113001.000000	1.000000	0.000000		58.000000	S  2	Stimulus	58.000000	29.000000
58.000000	113498.000000	1.000000	0.000000		59.000000	S  6	Stimulus	59.000000	29.000000
59.000000	117001.000000	1.000000	0.000000		60.000000	S  1	Stimulus	60.000000	30.000000
60.000000	117400.000000	1.000000	0.000000		61.000000	S  6	Stimulus	61.000000	30.000000
61.000000	121001.000000	1.000000	0.000000		62.000000	S  2	Stimulus	62.000000	31.000000
62.000000	121484.000000	1.000000	0.000000		63.000000	S  6	Stimulus	63.000000	31.000000
63.000000	125001.000000	1.000000	0.000000		64.000000	S  1	Stimulus	64.000000	32.000000
64.000000	125507.000000	1.000000	0.000000		65.000000	S  6	Stimulus	65.000000	32.000000
65.000000	129001.000000	1.000000	0.000000		68.000000	S  2	Stimulus	68.000000	33.000000
66.000000	129492.000000	1.000000	0.000000		69.000000	S  6	Stimulus	69.000000	33.000000
67.000000	133001.000000	1.000000	0.000000		73.000000	S  2	Stimulus	73.000000	34.000000
68.000000	133517.000000	1.000000	0.000000		74.000000	S  6	Stimulus	74.000000	34.000000
69.000000	137001.000000	1.000000	0.000000		75.000000	S  2	Stimulus	75.000000	35.000000
70.000000	137564.000000	1.000000	0.000000		76.000000	S  6	Stimulus	76.000000	35.000000
71.000000	141001.000000	1.000000	0.000000		80.000000	S  1	Stimulus	80.000000	36.000000
72.000000	141586.000000	1.000000	0.000000		81.000000	S  6	Stimulus	81.000000	36.000000
73.000000	145001.000000	1.000000	0.000000		85.000000	S  2	Stimulus	85.000000	37.000000
74.000000	145506.000000	1.000000	0.000000		86.000000	S  6	Stimulus	86.000000	37.000000
75.000000	149001.000000	1.000000	0.000000		87.000000	S  1	Stimulus	87.000000	38.000000
76.000000	149501.000000	1.000000	0.000000		88.000000	S  6	Stimulus	88.000000	38.000000
77.000000	153001.000000	1.000000	0.000000		91.000000	S  1	Stimulus	91.000000	39.000000
78.000000	153514.000000	1.000000	0.000000		92.000000	S  6	Stimulus	92.000000	39.000000
79.000000	157001.000000	1.000000	0.000000		93.000000	S  1	Stimulus	93.000000	40.000000
80.000000	157641.000000	1.000000	0.000000		94.000000	S  6	Stimulus	94.000000	40.000000
81.000000	161001.000000	1.000000	0.000000		98.000000	S  2	Stimulus	98.000000	41.000000
82.000000	161681.000000	1.000000	0.000000		99.000000	S  6	Stimulus	99.000000	41.000000
83.000000	165001.000000	1.000000	0.000000		100.000000	S  1	Stimulus	100.000000	42.000000
84.000000	165512.000000	1.000000	0.000000		101.000000	S  6	Stimulus	101.000000	42.000000
85.000000	169001.000000	1.000000	0.000000		102.000000	S  2	Stimulus	102.000000	43.000000
86.000000	169522.000000	1.000000	0.000000		103.000000	S  4	Stimulus	103.000000	43.000000
87.000000	173001.000000	1.000000	0.000000		109.000000	S  1	Stimulus	109.000000	44.000000
88.000000	173566.000000	1.000000	0.000000		110.000000	S  6	Stimulus	110.000000	44.000000
89.000000	177001.000000	1.000000	0.000000		111.000000	S  2	Stimulus	111.000000	45.000000
90.000000	177546.000000	1.000000	0.000000		112.000000	S  6	Stimulus	112.000000	45.000000
91.000000	181001.000000	1.000000	0.000000		113.000000	S  1	Stimulus	113.000000	46.000000
92.000000	181610.000000	1.000000	0.000000		114.000000	S  6	Stimulus	114.000000	46.000000
93.000000	185001.000000	1.000000	0.000000		115.000000	S  2	Stimulus	115.000000	47.000000
94.000000	185549.000000	1.000000	0.000000		116.000000	S  6	Stimulus	116.000000	47.000000
95.000000	189001.000000	1.000000	0.000000		120.000000	S  1	Stimulus	120.000000	48.000000
96.000000	189630.000000	1.000000	0.000000		121.000000	S  6	Stimulus	121.000000	48.000000
97.000000	193001.000000	1.000000	0.000000		124.000000	S  1	Stimulus	124.000000	49.000000
98.000000	193580.000000	1.000000	0.000000		125.000000	S  6	Stimulus	125.000000	49.000000
99.000000	197001.000000	1.000000	0.000000		131.000000	S  1	Stimulus	131.000000	50.000000
100.000000	197525.000000	1.000000	0.000000		132.000000	S  6	Stimulus	132.000000	50.000000
101.000000	201001.000000	1.000000	0.000000		136.000000	S  2	Stimulus	136.000000	51.000000
102.000000	201515.000000	1.000000	0.000000		137.000000	S  6	Stimulus	137.000000	51.000000
103.000000	205001.000000	1.000000	0.000000		138.000000	S  2	Stimulus	138.000000	52.000000
104.000000	205658.000000	1.000000	0.000000		139.000000	S  6	Stimulus	139.000000	52.000000
105.000000	209001.000000	1.000000	0.000000		140.000000	S  1	Stimulus	140.000000	53.000000
106.000000	209662.000000	1.000000	0.000000		141.000000	S  6	Stimulus	141.000000	53.000000
107.000000	213001.000000	1.000000	0.000000		142.000000	S  1	Stimulus	142.000000	54.000000
108.000000	213489.000000	1.000000	0.000000		143.000000	S  6	Stimulus	143.000000	54.000000
109.000000	217001.000000	1.000000	0.000000		146.000000	S  2	Stimulus	146.000000	55.000000
110.000000	217496.000000	1.000000	0.000000		147.000000	S  6	Stimulus	147.000000	55.000000
111.000000	221001.000000	1.000000	0.000000		148.000000	S  1	Stimulus	148.000000	56.000000
112.000000	221576.000000	1.000000	0.000000		149.000000	S  6	Stimulus	149.000000	56.000000
113.000000	225001.000000	1.000000	0.000000		150.000000	S  1	Stimulus	150.000000	57.000000
114.000000	225539.000000	1.000000	0.000000		151.000000	S  6	Stimulus	151.000000	57.000000
