number	latency	duration	channel	bvtime	bvmknum	type	code	urevent	epoch
1.000000	1001.000000	1.000000	0.000000		8.000000	S  2	Stimulus	8.000000	1.000000
2.000000	1361.000000	1.000000	0.000000		9.000000	S  6	Stimulus	9.000000	1.000000
3.000000	5001.000000	1.000000	0.000000		14.000000	S  2	Stimulus	14.000000	2.000000
4.000000	5358.000000	1.000000	0.000000		15.000000	S  6	Stimulus	15.000000	2.000000
5.000000	9001.000000	1.000000	0.000000		16.000000	S  1	Stimulus	16.000000	3.000000
6.000000	9374.000000	1.000000	0.000000		17.000000	S  6	Stimulus	17.000000	3.000000
7.000000	13001.000000	1.000000	0.000000		20.000000	S  2	Stimulus	20.000000	4.000000
8.000000	13476.000000	1.000000	0.000000		21.000000	S  6	Stimulus	21.000000	4.000000
9.000000	17001.000000	1.000000	0.000000		22.000000	S  2	Stimulus	22.000000	5.000000
10.000000	17519.000000	1.000000	0.000000		23.000000	S  6	Stimulus	23.000000	5.000000
11.000000	21001.000000	1.000000	0.000000		26.000000	S  1	Stimulus	26.000000	6.000000
12.000000	21548.000000	1.000000	0.000000		27.000000	S  6	Stimulus	27.000000	6.000000
13.000000	25001.000000	1.000000	0.000000		28.000000	S  2	Stimulus	28.000000	7.000000
14.000000	25501.000000	1.000000	0.000000		29.000000	S  6	Stimulus	29.000000	7.000000
15.000000	29001.000000	1.000000	0.000000		32.000000	S  2	Stimulus	32.000000	8.000000
16.000000	29495.000000	1.000000	0.000000		33.000000	S  6	Stimulus	33.000000	8.000000
17.000000	33001.000000	1.000000	0.000000		36.000000	S  1	Stimulus	36.000000	9.000000
18.000000	33462.000000	1.000000	0.000000		37.000000	S  4	Stimulus	37.000000	9.000000
19.000000	37001.000000	1.000000	0.000000		38.000000	S  1	Stimulus	38.000000	10.000000
20.000000	37551.000000	1.000000	0.000000		39.000000	S  6	Stimulus	39.000000	10.000000
21.000000	41001.000000	1.000000	0.000000		40.000000	S  2	Stimulus	40.000000	11.000000
22.000000	41463.000000	1.000000	0.000000		41.000000	S  6	Stimulus	41.000000	11.000000
23.000000	45001.000000	1.000000	0.000000		42.000000	S  2	Stimulus	42.000000	12.000000
24.000000	45495.000000	1.000000	0.000000		43.000000	S  6	Stimulus	43.000000	12.000000
25.000000	49001.000000	1.000000	0.000000		44.000000	S  1	Stimulus	44.000000	13.000000
26.000000	49475.000000	1.000000	0.000000		45.000000	S  6	Stimulus	45.000000	13.000000
27.000000	53001.000000	1.000000	0.000000		50.000000	S  1	Stimulus	50.000000	14.000000
28.000000	53576.000000	1.000000	0.000000		51.000000	S  6	Stimulus	51.000000	14.000000
29.000000	57001.000000	1.000000	0.000000		54.000000	S  2	Stimulus	54.000000	15.000000
30.000000	57498.000000	1.000000	0.000000		55.000000	S  6	Stimulus	55.000000	15.000000
31.000000	61001.000000	1.000000	0.000000		58.000000	S  2	Stimulus	58.000000	16.000000
32.000000	61438.000000	1.000000	0.000000		59.000000	S  6	Stimulus	59.000000	16.000000
33.000000	65001.000000	1.000000	0.000000		60.000000	S  1	Stimulus	60.000000	17.000000
34.000000	65503.000000	1.000000	0.000000		61.000000	S  6	Stimulus	61.000000	17.000000
35.000000	69001.000000	1.000000	0.000000		62.000000	S  2	Stimulus	62.000000	18.000000
36.000000	69454.000000	1.000000	0.000000		63.000000	S  6	Stimulus	63.000000	18.000000
37.000000	73001.000000	1.000000	0.000000		66.000000	S  1	Stimulus	66.000000	19.000000
38.000000	73751.000000	1.000000	0.000000		67.000000	S  4	Stimulus	67.000000	19.000000
39.000000	77001.000000	1.000000	0.000000		68.000000	S  2	Stimulus	68.000000	20.000000
40.000000	77492.000000	1.000000	0.000000		69.000000	S  6	Stimulus	69.000000	20.000000
41.000000	81001.000000	1.000000	0.000000		72.000000	S  2	Stimulus	72.000000	21.000000
42.000000	81611.000000	1.000000	0.000000		73.000000	S  6	Stimulus	73.000000	21.000000
43.000000	85001.000000	1.000000	0.000000		81.000000	S  2	Stimulus	81.000000	22.000000
44.000000	85750.000000	1.000000	0.000000		82.000000	S  4	Stimulus	82.000000	22.000000
45.000000	89001.000000	1.000000	0.000000		88.000000	S  2	Stimulus	88.000000	23.000000
46.000000	89745.000000	1.000000	0.000000		89.000000	S  6	Stimulus	89.000000	23.000000
47.000000	93001.000000	1.000000	0.000000		96.000000	S  2	Stimulus	96.000000	24.000000
48.000000	93728.000000	1.000000	0.000000		97.000000	S  6	Stimulus	97.000000	24.000000
49.000000	97001.000000	1.000000	0.000000		98.000000	S  1	Stimulus	98.000000	25.000000
50.000000	97628.000000	1.000000	0.000000		99.000000	S  6	Stimulus	99.000000	25.000000
51.000000	101001.000000	1.000000	0.000000		102.000000	S  2	Stimulus	102.000000	26.000000
52.000000	101750.000000	1.000000	0.000000		103.000000	S  4	Stimulus	103.000000	26.000000
53.000000	105001.000000	1.000000	0.000000		108.000000	S  2	Stimulus	108.000000	27.000000
54.000000	105655.000000	1.000000	0.000000		109.000000	S  6	Stimulus	109.000000	27.000000
55.000000	109001.000000	1.000000	0.000000		118.000000	S  2	Stimulus	118.000000	28.000000
56.000000	109701.000000	1.000000	0.000000		119.000000	S  6	Stimulus	119.000000	28.000000
57.000000	113001.000000	1.000000	0.000000		120.000000	S  2	Stimulus	120.000000	29.000000
58.000000	113555.000000	1.000000	0.000000		121.000000	S  6	Stimulus	121.000000	29.000000
59.000000	117001.000000	1.000000	0.000000		122.000000	S  1	Stimulus	122.000000	30.000000
60.000000	117742.000000	1.000000	0.000000		123.000000	S  6	Stimulus	123.000000	30.000000
61.000000	121001.000000	1.000000	0.000000		137.000000	S  1	Stimulus	137.000000	31.000000
62.000000	121751.000000	1.000000	0.000000		138.000000	S  4	Stimulus	138.000000	31.000000
63.000000	125001.000000	1.000000	0.000000		139.000000	S  2	Stimulus	139.000000	32.000000
64.000000	125636.000000	1.000000	0.000000		140.000000	S  6	Stimulus	140.000000	32.000000
65.000000	129001.000000	1.000000	0.000000		143.000000	S  2	Stimulus	143.000000	33.000000
66.000000	129680.000000	1.000000	0.000000		144.000000	S  6	Stimulus	144.000000	33.000000
67.000000	133001.000000	1.000000	0.000000		147.000000	S  1	Stimulus	147.000000	34.000000
68.000000	133726.000000	1.000000	0.000000		148.000000	S  6	Stimulus	148.000000	34.000000
69.000000	137001.000000	1.000000	0.000000		151.000000	S  2	Stimulus	151.000000	35.000000
70.000000	137750.000000	1.000000	0.000000		152.000000	S  4	Stimulus	152.000000	35.000000
71.000000	141001.000000	1.000000	0.000000		153.000000	S  1	Stimulus	153.000000	36.000000
72.000000	141751.000000	1.000000	0.000000		154.000000	S  4	Stimulus	154.000000	36.000000
73.000000	145001.000000	1.000000	0.000000		161.000000	S  2	Stimulus	161.000000	37.000000
74.000000	145751.000000	1.000000	0.000000		162.000000	S  4	Stimulus	162.000000	37.000000
75.000000	149001.000000	1.000000	0.000000		165.000000	S  2	Stimulus	165.000000	38.000000
76.000000	149751.000000	1.000000	0.000000		166.000000	S  4	Stimulus	166.000000	38.000000
77.000000	153001.000000	1.000000	0.000000		176.000000	S  2	Stimulus	176.000000	39.000000
78.000000	153643.000000	1.000000	0.000000		177.000000	S  6	Stimulus	177.000000	39.000000
79.000000	157001.000000	1.000000	0.000000		178.000000	S  1	Stimulus	178.000000	40.000000
80.000000	157687.000000	1.000000	0.000000		179.000000	S  6	Stimulus	179.000000	40.000000
81.000000	161001.000000	1.000000	0.000000		182.000000	S  1	Stimulus	182.000000	41.000000
82.000000	161601.000000	1.000000	0.000000		183.000000	S  6	Stimulus	183.000000	41.000000
83.000000	165001.000000	1.000000	0.000000		184.000000	S  2	Stimulus	184.000000	42.000000
84.000000	165751.000000	1.000000	0.000000		185.000000	S  4	Stimulus	185.000000	42.000000
85.000000	169001.000000	1.000000	0.000000		186.000000	S  1	Stimulus	186.000000	43.000000
86.000000	169573.000000	1.000000	0.000000		187.000000	S  6	Stimulus	187.000000	43.000000
87.000000	173001.000000	1.000000	0.000000		188.000000	S  2	Stimulus	188.000000	44.000000
88.000000	173645.000000	1.000000	0.000000		189.000000	S  6	Stimulus	189.000000	44.000000
89.000000	177001.000000	1.000000	0.000000		196.000000	S  1	Stimulus	196.000000	45.000000
90.000000	177663.000000	1.000000	0.000000		197.000000	S  6	Stimulus	197.000000	45.000000
91.000000	181001.000000	1.000000	0.000000		198.000000	S  2	Stimulus	198.000000	46.000000
92.000000	181654.000000	1.000000	0.000000		199.000000	S  6	Stimulus	199.000000	46.000000
93.000000	185001.000000	1.000000	0.000000		204.000000	S  2	Stimulus	204.000000	47.000000
94.000000	185670.000000	1.000000	0.000000		205.000000	S  6	Stimulus	205.000000	47.000000
95.000000	189001.000000	1.000000	0.000000		206.000000	S  2	Stimulus	206.000000	48.000000
96.000000	189653.000000	1.000000	0.000000		207.000000	S  6	Stimulus	207.000000	48.000000
97.000000	193001.000000	1.000000	0.000000		208.000000	S  1	Stimulus	208.000000	49.000000
98.000000	193750.000000	1.000000	0.000000		209.000000	S  4	Stimulus	209.000000	49.000000
99.000000	197001.000000	1.000000	0.000000		210.000000	S  1	Stimulus	210.000000	50.000000
100.000000	197627.000000	1.000000	0.000000		211.000000	S  6	Stimulus	211.000000	50.000000
101.000000	201001.000000	1.000000	0.000000		216.000000	S  2	Stimulus	216.000000	51.000000
102.000000	201706.000000	1.000000	0.000000		217.000000	S  6	Stimulus	217.000000	51.000000
103.000000	205001.000000	1.000000	0.000000		218.000000	S  2	Stimulus	218.000000	52.000000
104.000000	205683.000000	1.000000	0.000000		219.000000	S  6	Stimulus	219.000000	52.000000
105.000000	209001.000000	1.000000	0.000000		220.000000	S  1	Stimulus	220.000000	53.000000
106.000000	209751.000000	1.000000	0.000000		221.000000	S  4	Stimulus	221.000000	53.000000
107.000000	213001.000000	1.000000	0.000000		222.000000	S  1	Stimulus	222.000000	54.000000
108.000000	213751.000000	1.000000	0.000000		223.000000	S  4	Stimulus	223.000000	54.000000
109.000000	217001.000000	1.000000	0.000000		226.000000	S  2	Stimulus	226.000000	55.000000
110.000000	217728.000000	1.000000	0.000000		227.000000	S  6	Stimulus	227.000000	55.000000
111.000000	221001.000000	1.000000	0.000000		228.000000	S  1	Stimulus	228.000000	56.000000
112.000000	221751.000000	1.000000	0.000000		229.000000	S  4	Stimulus	229.000000	56.000000
113.000000	225001.000000	1.000000	0.000000		230.000000	S  2	Stimulus	230.000000	57.000000
114.000000	225634.000000	1.000000	0.000000		231.000000	S  6	Stimulus	231.000000	57.000000
115.000000	229001.000000	1.000000	0.000000		232.000000	S  1	Stimulus	232.000000	58.000000
116.000000	229751.000000	1.000000	0.000000		233.000000	S  4	Stimulus	233.000000	58.000000
117.000000	233001.000000	1.000000	0.000000		238.000000	S  1	Stimulus	238.000000	59.000000
118.000000	233667.000000	1.000000	0.000000		239.000000	S  6	Stimulus	239.000000	59.000000
119.000000	237001.000000	1.000000	0.000000		242.000000	S  2	Stimulus	242.000000	60.000000
120.000000	237720.000000	1.000000	0.000000		243.000000	S  6	Stimulus	243.000000	60.000000
121.000000	241001.000000	1.000000	0.000000		244.000000	S  1	Stimulus	244.000000	61.000000
122.000000	241733.000000	1.000000	0.000000		245.000000	S  6	Stimulus	245.000000	61.000000
123.000000	245001.000000	1.000000	0.000000		246.000000	S  2	Stimulus	246.000000	62.000000
124.000000	245751.000000	1.000000	0.000000		247.000000	S  4	Stimulus	247.000000	62.000000
125.000000	249001.000000	1.000000	0.000000		258.000000	S  1	Stimulus	258.000000	63.000000
126.000000	249681.000000	1.000000	0.000000		259.000000	S  6	Stimulus	259.000000	63.000000
