number	latency	duration	channel	bvtime	bvmknum	type	code	urevent	epoch
1.000000	1001.000000	1.000000	0.000000		2.000000	S  1	Stimulus	2.000000	1.000000
2.000000	1751.000000	1.000000	0.000000		3.000000	S  4	Stimulus	3.000000	1.000000
3.000000	5001.000000	1.000000	0.000000		6.000000	S  2	Stimulus	6.000000	2.000000
4.000000	5750.000000	1.000000	0.000000		7.000000	S  4	Stimulus	7.000000	2.000000
5.000000	9001.000000	1.000000	0.000000		14.000000	S  1	Stimulus	14.000000	3.000000
6.000000	9408.000000	1.000000	0.000000		15.000000	S  6	Stimulus	15.000000	3.000000
7.000000	13001.000000	1.000000	0.000000		20.000000	S  1	Stimulus	20.000000	4.000000
8.000000	13492.000000	1.000000	0.000000		21.000000	S  6	Stimulus	21.000000	4.000000
9.000000	17001.000000	1.000000	0.000000		26.000000	S  2	Stimulus	26.000000	5.000000
10.000000	17441.000000	1.000000	0.000000		27.000000	S  6	Stimulus	27.000000	5.000000
11.000000	21001.000000	1.000000	0.000000		28.000000	S  1	Stimulus	28.000000	6.000000
12.000000	21530.000000	1.000000	0.000000		29.000000	S  6	Stimulus	29.000000	6.000000
13.000000	25001.000000	1.000000	0.000000		30.000000	S  2	Stimulus	30.000000	7.000000
14.000000	25519.000000	1.000000	0.000000		31.000000	S  6	Stimulus	31.000000	7.000000
15.000000	29001.000000	1.000000	0.000000		32.000000	S  1	Stimulus	32.000000	8.000000
16.000000	29409.000000	1.000000	0.000000		33.000000	S  6	Stimulus	33.000000	8.000000
17.000000	33001.000000	1.000000	0.000000		34.000000	S  2	Stimulus	34.000000	9.000000
18.000000	33547.000000	1.000000	0.000000		35.000000	S  6	Stimulus	35.000000	9.000000
19.000000	37001.000000	1.000000	0.000000		36.000000	S  1	Stimulus	36.000000	10.000000
20.000000	37559.000000	1.000000	0.000000		37.000000	S  6	Stimulus	37.000000	10.000000
21.000000	41001.000000	1.000000	0.000000		50.000000	S  2	Stimulus	50.000000	11.000000
22.000000	41493.000000	1.000000	0.000000		51.000000	S  6	Stimulus	51.000000	11.000000
23.000000	45001.000000	1.000000	0.000000		68.000000	S  2	Stimulus	68.000000	12.000000
24.000000	45563.000000	1.000000	0.000000		69.000000	S  6	Stimulus	69.000000	12.000000
25.000000	49001.000000	1.000000	0.000000		83.000000	S  1	Stimulus	83.000000	13.000000
26.000000	49576.000000	1.000000	0.000000		84.000000	S  6	Stimulus	84.000000	13.000000
27.000000	53001.000000	1.000000	0.000000		87.000000	S  1	Stimulus	87.000000	14.000000
28.000000	53572.000000	1.000000	0.000000		88.000000	S  6	Stimulus	88.000000	14.000000
29.000000	57001.000000	1.000000	0.000000		91.000000	S  1	Stimulus	91.000000	15.000000
30.000000	57543.000000	1.000000	0.000000		92.000000	S  6	Stimulus	92.000000	15.000000
31.000000	61001.000000	1.000000	0.000000		93.000000	S  2	Stimulus	93.000000	16.000000
32.000000	61683.000000	1.000000	0.000000		94.000000	S  6	Stimulus	94.000000	16.000000
33.000000	65001.000000	1.000000	0.000000		97.000000	S  1	Stimulus	97.000000	17.000000
34.000000	65536.000000	1.000000	0.000000		98.000000	S  6	Stimulus	98.000000	17.000000
35.000000	69001.000000	1.000000	0.000000		106.000000	S  1	Stimulus	106.000000	18.000000
36.000000	69548.000000	1.000000	0.000000		107.000000	S  6	Stimulus	107.000000	18.000000
37.000000	73001.000000	1.000000	0.000000		115.000000	S  1	Stimulus	115.000000	19.000000
